Date,Sampling event,Pasture,Treat,Exclosure,Rep,F1T Crown Tillers,F2T Crown Tillers,F3T Crown Tillers,F1S Stolon Tillers,F2S Stolon Tillers,Total Stolon #,Total Tiller #,Total Length of stolon (cm),F1T CW Bud/core (0.007805m^2),F2T CW Bud/core (0.007805m^2),F3T CW Bud/core (0.007805m^2),Tot CW Buds/core (0.00785 cm^2),F1T ST Bud/core (0.007805m^2),F2T ST Bud/core (0.007805m^2),F3T ST Bud/core (0.007805m^2),Tot ST Buds (0.00785 cm^2),Grand total buds/core (0.00785 mc^2),F1T CW Bud/0.1m2,F2T CW Bud/0.1m2,F3T CW Bud/ (0.1m2),Tot CW Buds/0.1m2,F1T ST Bud/0.1m2,F2T ST Bud/0.1m2,F3T ST Bud/0.1^2,Tot ST Buds/0.1 m2,Grand total buds/0.1 m2,%CWB,%STB,%F1CWB,%F2CWB,%F3CWB,%F1STB,%F2STB,%combF1B,%comF2B,%comF3B,#F1CWT/0.1m2,#F2CWT/0.1m2,#F3CWT/0.1m2,# Tot CWT/0.1m2,#F1STT/0.1m2,#F2STT/0.1m2,# Tot STT/0.1m2,TotTIller/0.1m2,% of CWT,%of STT,%F1CWT,%F2CWT,%F3CWT,%F1STT,%F2STT,%combF1T,%comF2T,%comF3T,# Tot ST/0.1m2,totSTlg cm/0.1m2
 June 13,1,3,PBG,2,2,18,2,,15,,5,35,37.1,63,1,,64,0,,,0,64,802.55,12.74,0,815.29,0,0,,0,815.29,100,0,98.44,1.56,0,,,98.44,1.56,0,229.3,25.48,0,254.78,191.08,0,191.08,445.86,57.14,42.86,90,10,0,100,0,94.29,5.71,0,63.69,472.61
 June 13,1,3,PBG,3,3,18,4,,9,,7,31,44.6,36,2,,38,0,,,0,38,458.6,25.48,0,484.08,0,0,,0,484.08,100,0,94.74,5.26,0,,,94.74,5.26,0,229.3,50.96,0,280.25,114.65,0,114.65,394.9,70.97,29.03,81.82,18.18,0,100,0,87.1,12.9,0,89.17,568.15
 June 13,1,3,PBG,4,4,81,7,,1,,1,89,3.5,283.5,0,,283.5,2,,,2,285.5,3611.46,0,0,3611.46,25.48,0,,25.48,3636.94,99.3,0.7,100,0,0,100,0,100,0,0,1031.85,89.17,0,1121.02,12.74,0,12.74,1133.76,98.88,1.12,92.05,7.95,0,100,0,92.13,7.87,0,12.74,44.59
 June 13,1,3,PBG,5,5,25,5,,8,1,0,39,9.3,100,2.5,,102.5,16,1,,17,119.5,1273.89,31.85,0,1305.73,203.82,1.27,,205.1,1510.83,86.42,13.58,97.56,2.44,0,99.38,0.62,97.81,2.19,0,318.47,63.69,0,382.17,101.91,12.74,114.65,496.82,76.92,23.08,83.33,16.67,0,88.89,11.11,84.62,15.38,0,0,118.47
 June 13,1,5,PBG,1,1,60,4,,0,,1,64,1,90,0,,90,,,,0,90,1146.5,0,0,1146.5,0,0,,0,1146.5,100,0,100,0,0,,,100,0,0,764.33,50.96,0,815.29,0,0,0,815.29,100,0,93.75,6.25,0,,,93.75,6.25,0,12.74,12.74
 June 13,1,5,PBG,2,2,57,13,,9,,3,79,9.6,114,6.5,,120.5,18,,,18,138.5,1452.23,82.8,0,1535.03,229.3,0,,229.3,1764.33,87,13,94.61,5.39,0,100,0,95.31,4.69,0,726.11,165.61,0,891.72,114.65,0,114.65,1006.37,88.61,11.39,81.43,18.57,0,100,0,83.54,16.46,0,38.22,122.29
 June 13,1,5,PBG,3,3,50,6,,,,0,56,22,100,6,,106,,,,0,106,1273.89,76.43,0,1350.32,0,0,,0,1350.32,100,0,94.34,5.66,0,,,94.34,5.66,0,636.94,76.43,0,713.38,0,0,0,713.38,100,0,89.29,10.71,0,,,89.29,10.71,0,0,280.25
 June 13,1,5,PBG,4,4,24,2,,25,7,10,58,28.2,60,0,,60,50,3.5,,53.5,113.5,764.33,0,0,764.33,636.94,4.46,,641.4,1405.73,54.37,45.63,100,0,0,99.3,0.7,99.68,0.32,0,305.73,25.48,0,331.21,318.47,89.17,407.64,738.85,44.83,55.17,92.31,7.69,0,78.13,21.88,84.48,15.52,0,127.39,359.24
 June 13,1,5,PBG,5,5,53,10,,9,,1,72,3.6,53,0,,53,13.5,,,13.5,66.5,675.16,0,0,675.16,171.97,0,,171.97,847.13,79.7,20.3,100,0,0,100,0,100,0,0,675.16,127.39,0,802.55,114.65,0,114.65,917.2,87.5,12.5,84.13,15.87,0,100,0,86.11,13.89,0,12.74,45.86
 June 13,1,6,PBG,1,1,41,4,,13,,3,58,21.6,82,4,,86,13,,,13,99,1044.59,50.96,0,1095.54,165.61,0,,165.61,1261.15,86.87,13.13,95.35,4.65,0,100,0,95.96,4.04,0,522.29,50.96,0,573.25,165.61,0,165.61,738.85,77.59,22.41,91.11,8.89,0,100,0,93.1,6.9,0,38.22,275.16
 June 13,1,6,PBG,2,2,7,2,,10,,0,19,12.3,17.5,0,,17.5,15,,,15,32.5,222.93,0,0,222.93,191.08,0,,191.08,414.01,53.85,46.15,100,0,0,100,0,100,0,0,89.17,25.48,0,114.65,127.39,0,127.39,242.04,47.37,52.63,77.78,22.22,0,100,0,89.47,10.53,0,0,156.69
 June 13,1,6,PBG,3,3,29,4,,2,,2,35,8,29,0,,29,0,,,0,29,369.43,0,0,369.43,0,0,,0,369.43,100,0,100,0,0,,,100,0,0,369.43,50.96,0,420.38,25.48,0,25.48,445.86,94.29,5.71,87.88,12.12,0,100,0,88.57,11.43,0,25.48,101.91
 June 13,1,6,PBG,4,4,37,11,2,10,2,8,62,28.2,92.5,5.5,0,98,10,0,,10,108,1178.34,70.06,0,1248.41,127.39,0,,127.39,1375.8,90.74,9.26,94.39,5.61,0,100,0,94.91,5.09,0,471.34,140.13,25.48,636.94,127.39,25.48,152.87,789.81,80.65,19.35,74,22,4,83.33,16.67,75.81,20.97,3.23,101.91,359.24
 June 13,1,6,PBG,5,5,25,2,,,,0,27,0,37.5,0,,37.5,,,,0,37.5,477.71,0,0,477.71,0,0,,0,477.71,100,0,100,0,0,,,100,0,0,318.47,25.48,0,343.95,0,0,0,343.95,100,0,92.59,7.41,0,,,92.59,7.41,0,0,0
 July 2,2,3,PBG,1,1,34,9,,2,,1,45,3.8,68,4.5,,72.5,0,,,0,72.5,866.24,57.32,0,923.57,0,0,,0,923.57,100,0,93.79,6.21,0,,,93.79,6.21,0,433.12,114.65,0,547.77,25.48,0,25.48,573.25,95.56,4.44,79.07,20.93,0,100,0,80,20,0,12.74,48.41
 July 2,2,3,PBG,2,2,37,7,,1,,6,45,21.6,111,7,,118,1,,,1,119,1414.01,89.17,0,1503.18,12.74,0,,12.74,1515.92,99.16,0.84,94.07,5.93,0,100,0,94.12,5.88,0,471.34,89.17,0,560.51,12.74,0,12.74,573.25,97.78,2.22,84.09,15.91,0,100,0,84.44,15.56,0,76.43,275.16
 July 2,2,3,PBG,3,3,31,8,,7,,6,46,22.7,62,0,,62,3.5,,,3.5,65.5,789.81,0,0,789.81,44.59,0,,44.59,834.39,94.66,5.34,100,0,0,100,0,100,0,0,394.9,101.91,0,496.82,89.17,0,89.17,585.99,84.78,15.22,79.49,20.51,0,100,0,82.61,17.39,0,76.43,289.17
 July 2,2,3,PBG,4,4,55,8,,,,0,63,0,220,0,,220,,,,0,220,2802.55,0,0,2802.55,0,0,,0,2802.55,100,0,100,0,0,,,100,0,0,700.64,101.91,0,802.55,0,0,0,802.55,100,0,87.3,12.7,0,,,87.3,12.7,0,0,0
 July 2,2,3,PBG,5,5,50,13,,,,2,63,4.6,200,6.5,,206.5,,,,0,206.5,2547.77,82.8,0,2630.57,0,0,,0,2630.57,100,0,96.85,3.15,0,,,96.85,3.15,0,636.94,165.61,0,802.55,0,0,0,802.55,100,0,79.37,20.63,0,,,79.37,20.63,0,25.48,58.6
